23,18,24
12,18,23
12,23,20
18,12,5
18,21,24
23,24,42
42,24,39
18,5,9
18,9,21
24,21,31
20,23,36
23,42,36
24,31,39
17,12,20
12,17,5
20,36,25
31,32,39
21,9,6
31,21,32
5,2,9
5,17,3
9,2,6
21,6,16
17,20,25
21,16,32
42,52,36
42,39,49
5,3,2
3,17,11
39,32,47
36,52,48
39,47,49
52,42,49
2,4,6
25,33,17
32,37,47
52,50,48
6,4,19
25,41,33
37,32,16
25,36,48
11,15,3
16,6,19
41,25,48
52,49,50
17,15,11
2,3,1
17,33,15
16,19,10
2,1,4
16,10,37
49,47,46
33,41,27
50,49,46
1,7,4
33,27,15
41,48,45
48,50,51
46,47,40
15,1,3
4,7,19
19,7,10
37,10,28
45,48,51
47,37,40
50,46,43
40,37,44
15,8,1
15,27,8
44,37,28
51,50,43
41,45,35
1,8,13
1,13,7
7,14,10
27,26,8
41,35,27
46,40,44
28,10,14
35,45,51
7,13,14
43,46,34
46,44,34
8,26,13
28,30,44
30,28,14
27,35,26
26,35,29
35,51,29
13,22,14
13,26,22
44,30,34
29,51,34
51,43,34
26,38,22
14,22,30
26,29,38
30,38,34
29,34,38
38,30,22
